indice_tiempo;poblacion_arg;poblacion_2;poblacion_6;poblacion_10;poblacion_14;poblacion_18;poblacion_22;poblacion_26;poblacion_30;poblacion_34;poblacion_38;poblacion_42;poblacion_46;poblacion_50;poblacion_54;poblacion_58;poblacion_62;poblacion_66;poblacion_70;poblacion_74;poblacion_78;poblacion_82;poblacion_86;poblacion_90;poblacion_94
1/1/2010;40788453;3028481;15716942;377676;3373025;1017731;1080017;513433;1255574;551626;683513;327028;342582;1774737;1113279;571910;648277;1239111;696076;443944;275452;3257907;879246;1489225;131661
1/1/2011;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2012;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2013;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2014;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2015;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2016;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2017;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2018;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2019;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2020;45376763;3075646;17541141;415438;3760450;1120801;1204541;618994;1385961;605193;770881;358428;393531;1990338;1261294;664057;747610;1424397;781217;508328;365698;3536418;978313;1694656;173432
1/1/2021;45808747;3078836;17709598;418991;3798261;1130320;1216247;629181;1398510;610019;779212;361394;398648;2010363;1274992;672461;757052;1441988;789489;514610;374756;3563390;988245;1714487;177697
